Coefficient,Feature,MAE,ExVariance
1.8737362977751915,vertical_drop,5.0531418761432185,0.9370003658890964
0.2551529224774969,trams,5.0531418761432185,0.9370003658890964
0.007047627375605708,fastEight,5.0531418761432185,0.9370003658890964
0.36979819067749753,fastSixes,5.0531418761432185,0.9370003658890964
0.630055130537647,fastQuads,5.0531418761432185,0.9370003658890964
1.139460484416647,quad,5.0531418761432185,0.9370003658890964
1.3979666791136873,triple,5.0531418761432185,0.9370003658890964
0.20568731803391166,double,5.0531418761432185,0.9370003658890964
1.2385070725110754,surface,5.0531418761432185,0.9370003658890964
0.5283911229804097,total_chairs,5.0531418761432185,0.9370003658890964
0.9808172845661801,Runs,5.0531418761432185,0.9370003658890964
0.0774896171457423,TerrainParks,5.0531418761432185,0.9370003658890964
0.22299738400537872,LongestRun_mi,5.0531418761432185,0.9370003658890964
0.09508126915273428,SkiableTerrain_ac,5.0531418761432185,0.9370003658890964
0.1272499154633361,Snow Making_ac,5.0531418761432185,0.9370003658890964
1.5783374162220634,daysOpenLastYear,5.0531418761432185,0.9370003658890964
0.22750451376977895,yearsOpen,5.0531418761432185,0.9370003658890964
1.0639215900342567,averageSnowfall,5.0531418761432185,0.9370003658890964
20.050929587276904,AdultWeekday,5.0531418761432185,0.9370003658890964
0.7674097869337739,projectedDaysOpen,5.0531418761432185,0.9370003658890964
0.42406093538287754,NightSkiing_ac,5.0531418761432185,0.9370003658890964
2.5420100719868057,clusters,5.0531418761432185,0.9370003658890964
